ORDERNUMBER,Customer Name,Sales,Quantity Ordered,Price Each,MSRP,Mark Up/Down,Product Line,Order Line Number,Product Code,Order Date,Month,Year,Status,Quarter ID,Deal Size,Small Deal,Medium Deal,Large Deal,Contact Last Name,Contact First Name,Phone,Address,City,State,Postal Code,Country,Territory,Classic Cars,Motorcycles,Planes,Ships,Trains,Trucks and Buses,Vintage Cars
10223,"Australian Collectors, Co.",3965.66,37,100.0,95.0,5.0,Motorcycles,1,S10_1678,2004-02-20,February,2004,Shipped,1,Medium Deal,0,1,0,Ferguson,Peter,03 9520 4555,636 St Kilda Road  Level 3,Melbourne,Victoria,3004,Australia,APAC,0,1,0,0,0,0,0
10237,Vitachrome Inc.,2333.12,23,100.0,95.0,5.0,Motorcycles,7,S10_1678,2004-04-05,April,2004,Shipped,2,Small Deal,1,0,0,Frick,Michael,2125551500,2678 Kingston Rd.  Suite 101,NYC,NY,10022,USA,AMER,0,1,0,0,0,0,0
10251,Tekni Collectables Inc.,3188.64,28,100.0,95.0,5.0,Motorcycles,2,S10_1678,2004-05-18,May,2004,Shipped,2,Medium Deal,0,1,0,Brown,William,2015559350,7476 Moss Rd.  ,Newark,NJ,94019,USA,AMER,0,1,0,0,0,0,0
10263,Gift Depot Inc.,3676.76,34,100.0,95.0,5.0,Motorcycles,2,S10_1678,2004-06-28,June,2004,Shipped,2,Medium Deal,0,1,0,King,Julie,2035552570,25593 South Bay Ln.  ,Bridgewater,CT,97562,USA,AMER,0,1,0,0,0,0,0
10275,La Rochelle Gifts,4177.35,45,92.83,95.0,-2.1700000000000017,Motorcycles,1,S10_1678,2004-07-23,July,2004,Shipped,3,Medium Deal,0,1,0,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages  ",Nantes,N/A,44000,France,EMEA,0,1,0,0,0,0,0
10285,Marta's Replicas Co.,4099.68,36,100.0,95.0,5.0,Motorcycles,6,S10_1678,2004-08-27,August,2004,Shipped,3,Medium Deal,0,1,0,Hernandez,Marta,6175558555,39323 Spinnaker Dr.  ,Cambridge,MA,51247,USA,AMER,0,1,0,0,0,0,0
10299,"Toys of Finland, Co.",2597.39,23,100.0,95.0,5.0,Motorcycles,9,S10_1678,2004-09-30,September,2004,Shipped,3,Small Deal,1,0,0,Karttunen,Matti,90-224 8555,Keskuskatu 45  ,Helsinki,N/A,21240,Finland,EMEA,0,1,0,0,0,0,0
10309,Baane Mini Imports,4394.38,41,100.0,95.0,5.0,Motorcycles,5,S10_1678,2004-10-15,October,2004,Shipped,4,Medium Deal,0,1,0,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78  ,Stavern,N/A,4110,Norway,EMEA,0,1,0,0,0,0,0
10318,Diecast Classics Inc.,4358.04,46,94.74,95.0,-0.2600000000000051,Motorcycles,1,S10_1678,2004-11-02,November,2004,Shipped,4,Medium Deal,0,1,0,Yu,Kyung,2155551555,7586 Pompton St.  ,Allentown,PA,70267,USA,AMER,0,1,0,0,0,0,0
10329,Land of Toys Inc.,4396.14,42,100.0,95.0,5.0,Motorcycles,1,S10_1678,2004-11-15,November,2004,Shipped,4,Medium Deal,0,1,0,Yu,Kwai,2125557818,897 Long Airport Avenue  ,NYC,NY,10022,USA,AMER,0,1,0,0,0,0,0
10341,Salzburg Collectables,7737.93,41,100.0,95.0,5.0,Motorcycles,9,S10_1678,2004-11-24,November,2004,Shipped,4,Large Deal,0,0,1,Pipps,Georg,6562-9555,Geislweg 14  ,Salzburg,N/A,5020,Austria,EMEA,0,1,0,0,0,0,0
10361,Souveniers And Things Co.,1451.0,20,72.55,95.0,-22.450000000000003,Motorcycles,13,S10_1678,2004-12-17,December,2004,Shipped,4,Small Deal,1,0,0,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy  Level 6",Chatswood,NSW,2067,Australia,APAC,0,1,0,0,0,0,0
10375,La Rochelle Gifts,733.11,21,34.91,95.0,-60.09,Motorcycles,12,S10_1678,2005-02-03,February,2005,Shipped,1,Small Deal,1,0,0,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages  ",Nantes,N/A,44000,France,EMEA,0,1,0,0,0,0,0
10388,FunGiftIdeas.com,3207.12,42,76.36,95.0,-18.64,Motorcycles,4,S10_1678,2005-03-03,March,2005,Shipped,1,Medium Deal,0,1,0,Benitez,Violeta,5085552555,1785 First Street  ,New Bedford,MA,50553,USA,AMER,0,1,0,0,0,0,0
10403,"UK Collectables, Ltd.",2434.56,24,100.0,95.0,5.0,Motorcycles,7,S10_1678,2005-04-08,April,2005,Shipped,2,Small Deal,1,0,0,Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery  ,Liverpool,N/A,WX1 6LT,UK,EMEA,0,1,0,0,0,0,0
10417,Euro Shopping Channel,7516.08,66,100.0,95.0,5.0,Motorcycles,2,S10_1678,2005-05-13,May,2005,Disputed,2,Large Deal,0,0,1,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86  ",Madrid,N/A,28034,Spain,EMEA,0,1,0,0,0,0,0
10103,Baane Mini Imports,5404.62,26,100.0,214.0,-114.0,Classic Cars,11,S10_1949,2003-01-29,January,2003,Shipped,1,Medium Deal,0,1,0,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78  ,Stavern,N/A,4110,Norway,EMEA,1,0,0,0,0,0,0
10112,"Volvo Model Replicas, Co",7209.11,29,100.0,214.0,-114.0,Classic Cars,1,S10_1949,2003-03-24,March,2003,Shipped,1,Large Deal,0,0,1,Berglund,Christina,0921-12 3555,Berguvsv�gen  8  ,Lule,N/A,S-958 22,Sweden,EMEA,1,0,0,0,0,0,0
10126,"Corrida Auto Replicas, Ltd",7329.06,38,100.0,214.0,-114.0,Classic Cars,11,S10_1949,2003-05-28,May,2003,Shipped,2,Large Deal,0,0,1,Sommer,Mart�n,(91) 555 22 82,"C/ Araquil, 67  ",Madrid,N/A,28023,Spain,EMEA,1,0,0,0,0,0,0
10140,Technics Stores Inc.,7374.1,37,100.0,214.0,-114.0,Classic Cars,11,S10_1949,2003-07-24,July,2003,Shipped,3,Large Deal,0,0,1,Hirano,Juri,6505556809,9408 Furth Circle  ,Burlingame,CA,94217,USA,AMER,1,0,0,0,0,0,0
10150,"Dragon Souveniers, Ltd.",10993.5,45,100.0,214.0,-114.0,Classic Cars,8,S10_1949,2003-09-19,September,2003,Shipped,3,Large Deal,0,0,1,Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  ",Singapore,N/A,79903,Singapore,APAC,1,0,0,0,0,0,0
10163,Classic Legends Inc.,4860.24,21,100.0,214.0,-114.0,Classic Cars,1,S10_1949,2003-10-20,October,2003,Shipped,4,Medium Deal,0,1,0,Hernandez,Maria,2125558493,5905 Pompton St.  Suite 750,NYC,NY,10022,USA,AMER,1,0,0,0,0,0,0
10174,"Australian Gift Network, Co",8014.82,34,100.0,214.0,-114.0,Classic Cars,4,S10_1949,2003-11-06,November,2003,Shipped,4,Large Deal,0,0,1,Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End  ,South Brisbane,Queensland,4101,Australia,APAC,1,0,0,0,0,0,0
10183,"Classic Gift Ideas, Inc",5372.57,23,100.0,214.0,-114.0,Classic Cars,8,S10_1949,2003-11-13,November,2003,Shipped,4,Medium Deal,0,1,0,Cervantes,Francisca,2155554695,782 First Street  ,Philadelphia,PA,71270,USA,AMER,1,0,0,0,0,0,0
10194,"Saveley & Henriot, Co.",7290.36,42,100.0,214.0,-114.0,Classic Cars,11,S10_1949,2003-11-25,November,2003,Shipped,4,Large Deal,0,0,1,Saveley,Mary,78.32.5555,"2, rue du Commerce  ",Lyon,N/A,69004,France,EMEA,1,0,0,0,0,0,0
10206,Canadian Gift Exchange Network,9064.89,47,100.0,214.0,-114.0,Classic Cars,6,S10_1949,2003-12-05,December,2003,Shipped,4,Large Deal,0,0,1,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.  ,Vancouver,BC,V3F 2K1,Canada,AMER,1,0,0,0,0,0,0
10215,West Coast Collectables Co.,6075.3,35,100.0,214.0,-114.0,Classic Cars,3,S10_1949,2004-01-29,January,2004,Shipped,1,Medium Deal,0,1,0,Thompson,Steve,3105553722,3675 Furth Circle  ,Burbank,CA,94019,USA,AMER,1,0,0,0,0,0,0
10228,Cambridge Collectables Co.,6463.23,29,100.0,214.0,-114.0,Classic Cars,2,S10_1949,2004-03-10,March,2004,Shipped,1,Medium Deal,0,1,0,Tseng,Kyung,6175555555,4658 Baden Av.  ,Cambridge,MA,51247,USA,AMER,1,0,0,0,0,0,0
10245,Super Scale Inc.,6120.34,34,100.0,214.0,-114.0,Classic Cars,9,S10_1949,2004-05-04,May,2004,Shipped,2,Medium Deal,0,1,0,Murphy,Leslie,2035559545,567 North Pendale Street  ,New Haven,CT,97823,USA,AMER,1,0,0,0,0,0,0
10258,"Tokyo Collectables, Ltd",7680.64,32,100.0,214.0,-114.0,Classic Cars,6,S10_1949,2004-06-15,June,2004,Shipped,2,Large Deal,0,0,1,Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi  ,Minato-ku,Tokyo,106-0032,Japan,APAC,1,0,0,0,0,0,0
10270,Souveniers And Things Co.,4905.39,21,100.0,214.0,-114.0,Classic Cars,9,S10_1949,2004-07-19,July,2004,Shipped,3,Medium Deal,0,1,0,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy  Level 6",Chatswood,NSW,2067,Australia,APAC,1,0,0,0,0,0,0
10280,Amica Models & Co.,8014.82,34,100.0,214.0,-114.0,Classic Cars,2,S10_1949,2004-08-17,August,2004,Shipped,3,Large Deal,0,0,1,Accorti,Paolo,011-4988555,Via Monte Bianco 34  ,Torino,N/A,10100,Italy,EMEA,1,0,0,0,0,0,0
10291,Scandinavian Gift Ideas,7136.19,37,100.0,214.0,-114.0,Classic Cars,11,S10_1949,2004-09-08,September,2004,Shipped,3,Large Deal,0,0,1,Larsson,Maria,0695-34 6555,?kergatan 24  ,Boras,N/A,S-844 67,Sweden,EMEA,1,0,0,0,0,0,0
10304,Auto Assoc. & Cie.,10172.7,47,100.0,214.0,-114.0,Classic Cars,6,S10_1949,2004-10-11,October,2004,Shipped,4,Large Deal,0,0,1,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe  ",Versailles,N/A,78000,France,EMEA,1,0,0,0,0,0,0
10312,Mini Gifts Distributors Ltd.,11623.7,48,100.0,214.0,-114.0,Classic Cars,3,S10_1949,2004-10-21,October,2004,Shipped,4,Large Deal,0,0,1,Nelson,Valarie,4155551450,5677 Strong St.  ,San Rafael,CA,97562,USA,AMER,1,0,0,0,0,0,0
10322,Online Diecast Creations Co.,6000.4,40,100.0,214.0,-114.0,Classic Cars,1,S10_1949,2004-11-04,November,2004,Shipped,4,Medium Deal,0,1,0,Young,Valarie,6035558647,2304 Long Airport Avenue  ,Nashua,NH,62005,USA,AMER,1,0,0,0,0,0,0
10333,Mini Wheels Co.,3003.0,26,100.0,214.0,-114.0,Classic Cars,3,S10_1949,2004-11-18,November,2004,Shipped,4,Medium Deal,0,1,0,Murphy,Julie,6505555787,5557 North Pendale Street  ,San Francisco,CA,N/A,USA,AMER,1,0,0,0,0,0,0
10347,"Australian Collectors, Co.",3944.7,30,100.0,214.0,-114.0,Classic Cars,1,S10_1949,2004-11-29,November,2004,Shipped,4,Medium Deal,0,1,0,Ferguson,Peter,03 9520 4555,636 St Kilda Road  Level 3,Melbourne,Victoria,3004,Australia,APAC,1,0,0,0,0,0,0
10357,Mini Gifts Distributors Ltd.,5691.84,32,100.0,214.0,-114.0,Classic Cars,10,S10_1949,2004-12-10,December,2004,Shipped,4,Medium Deal,0,1,0,Nelson,Valarie,4155551450,5677 Strong St.  ,San Rafael,CA,97562,USA,AMER,1,0,0,0,0,0,0
10369,Collectables For Less Inc.,4514.92,41,100.0,214.0,-114.0,Classic Cars,2,S10_1949,2005-01-20,January,2005,Shipped,1,Medium Deal,0,1,0,Nelson,Allen,6175558555,7825 Douglas Av.  ,Brickhaven,MA,58339,USA,AMER,1,0,0,0,0,0,0
10381,Corporate Gift Ideas Co.,8254.8,36,100.0,214.0,-114.0,Classic Cars,3,S10_1949,2005-02-17,February,2005,Shipped,1,Large Deal,0,0,1,Brown,Julie,6505551386,7734 Strong St.  ,San Francisco,CA,N/A,USA,AMER,1,0,0,0,0,0,0
10391,"Anna's Decorations, Ltd",2416.56,24,100.0,214.0,-114.0,Classic Cars,4,S10_1949,2005-03-09,March,2005,Shipped,1,Small Deal,1,0,0,O'Hara,Anna,02 9936 8555,201 Miller Street  Level 15,North Sydney,NSW,2060,Australia,APAC,1,0,0,0,0,0,0
10411,Quebec Home Shopping Network,4140.23,23,100.0,214.0,-114.0,Classic Cars,9,S10_1949,2005-05-01,May,2005,Shipped,2,Medium Deal,0,1,0,Fresnisre,Jean,(514) 555-8054,43 rue St. Laurent  ,Montreal,Quebec,H1J 1C3,Canada,AMER,1,0,0,0,0,0,0
10424,Euro Shopping Channel,12001.0,50,100.0,214.0,-114.0,Classic Cars,6,S10_1949,2005-05-31,May,2005,In Process,2,Large Deal,0,0,1,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86  ",Madrid,N/A,28034,Spain,EMEA,1,0,0,0,0,0,0
10107,Land of Toys Inc.,3896.49,39,99.91,118.0,-18.090000000000003,Motorcycles,5,S10_2016,2003-02-24,February,2003,Shipped,1,Medium Deal,0,1,0,Yu,Kwai,2125557818,897 Long Airport Avenue  ,NYC,NY,10022,USA,AMER,0,1,0,0,0,0,0
10120,"Australian Collectors, Co.",2793.86,29,96.34,118.0,-21.659999999999997,Motorcycles,3,S10_2016,2003-04-29,April,2003,Shipped,2,Small Deal,1,0,0,Ferguson,Peter,03 9520 4555,636 St Kilda Road  Level 3,Melbourne,Victoria,3004,Australia,APAC,0,1,0,0,0,0,0
10134,Lyon Souveniers,3307.77,27,100.0,118.0,-18.0,Motorcycles,5,S10_2016,2003-07-01,July,2003,Shipped,3,Medium Deal,0,1,0,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia  ,Paris,N/A,75508,France,EMEA,0,1,0,0,0,0,0
10145,Toys4GrownUps.com,5192.95,37,100.0,118.0,-18.0,Motorcycles,9,S10_2016,2003-08-25,August,2003,Shipped,3,Medium Deal,0,1,0,Young,Julie,6265557265,78934 Hillside Dr.  ,Pasadena,CA,90003,USA,AMER,0,1,0,0,0,0,0
10159,Corporate Gift Ideas Co.,5016.83,37,100.0,118.0,-18.0,Motorcycles,17,S10_2016,2003-10-10,October,2003,Shipped,4,Medium Deal,0,1,0,Brown,Julie,6505551386,7734 Strong St.  ,San Francisco,CA,N/A,USA,AMER,0,1,0,0,0,0,0
10168,Technics Stores Inc.,3660.93,27,100.0,118.0,-18.0,Motorcycles,4,S10_2016,2003-10-28,October,2003,Shipped,4,Medium Deal,0,1,0,Hirano,Juri,6505556809,9408 Furth Circle  ,Burlingame,CA,94217,USA,AMER,0,1,0,0,0,0,0
10180,Daedalus Designs Imports,4695.6,42,100.0,118.0,-18.0,Motorcycles,12,S10_2016,2003-11-11,November,2003,Shipped,4,Medium Deal,0,1,0,Rance,Martine,20.16.1555,"184, chausse de Tournai  ",Lille,N/A,59000,France,EMEA,0,1,0,0,0,0,0
10188,Herkku Gifts,3660.92,38,96.34,118.0,-21.659999999999997,Motorcycles,4,S10_2016,2003-11-18,November,2003,Shipped,4,Medium Deal,0,1,0,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum  ",Bergen,N/A,N 5804,Norway,EMEA,0,1,0,0,0,0,0
10201,Mini Wheels Co.,3025.92,24,100.0,118.0,-18.0,Motorcycles,5,S10_2016,2003-12-01,December,2003,Shipped,4,Medium Deal,0,1,0,Murphy,Julie,6505555787,5557 North Pendale Street  ,San Francisco,CA,N/A,USA,AMER,0,1,0,0,0,0,0
10210,Osaka Souveniers Co.,3009.09,23,100.0,118.0,-18.0,Motorcycles,2,S10_2016,2004-01-12,January,2004,Shipped,1,Medium Deal,0,1,0,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  ",Osaka,Osaka,530-0003,Japan,APAC,0,1,0,0,0,0,0
10223,"Australian Collectors, Co.",5422.39,47,100.0,118.0,-18.0,Motorcycles,4,S10_2016,2004-02-20,February,2004,Shipped,1,Medium Deal,0,1,0,Ferguson,Peter,03 9520 4555,636 St Kilda Road  Level 3,Melbourne,Victoria,3004,Australia,APAC,0,1,0,0,0,0,0
10236,Motor Mint Distributors Inc.,2852.08,22,100.0,118.0,-18.0,Motorcycles,1,S10_2016,2004-04-03,April,2004,Shipped,2,Small Deal,1,0,0,Hernandez,Rosa,2155559857,11328 Douglas Av.  ,Philadelphia,PA,71270,USA,AMER,0,1,0,0,0,0,0
10251,Tekni Collectables Inc.,5756.52,44,100.0,118.0,-18.0,Motorcycles,5,S10_2016,2004-05-18,May,2004,Shipped,2,Medium Deal,0,1,0,Brown,William,2015559350,7476 Moss Rd.  ,Newark,NJ,94019,USA,AMER,0,1,0,0,0,0,0
10263,Gift Depot Inc.,4472.0,40,100.0,118.0,-18.0,Motorcycles,5,S10_2016,2004-06-28,June,2004,Shipped,2,Medium Deal,0,1,0,King,Julie,2035552570,25593 South Bay Ln.  ,Bridgewater,CT,97562,USA,AMER,0,1,0,0,0,0,0
10275,La Rochelle Gifts,2904.44,22,100.0,118.0,-18.0,Motorcycles,4,S10_2016,2004-07-23,July,2004,Shipped,3,Small Deal,1,0,0,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages  ",Nantes,N/A,44000,France,EMEA,0,1,0,0,0,0,0
10285,Marta's Replicas Co.,6484.59,47,100.0,118.0,-18.0,Motorcycles,9,S10_2016,2004-08-27,August,2004,Shipped,3,Medium Deal,0,1,0,Hernandez,Marta,6175558555,39323 Spinnaker Dr.  ,Cambridge,MA,51247,USA,AMER,0,1,0,0,0,0,0
10298,Atelier graphique,3757.26,39,96.34,118.0,-21.659999999999997,Motorcycles,1,S10_2016,2004-09-27,September,2004,Shipped,3,Medium Deal,0,1,0,Schmitt,Carine,40.32.2555,"54, rue Royale  ",Nantes,N/A,44000,France,EMEA,0,1,0,0,0,0,0
10308,Mini Classics,4043.96,34,100.0,118.0,-18.0,Motorcycles,2,S10_2016,2004-10-15,October,2004,Shipped,4,Medium Deal,0,1,0,Frick,Steve,9145554562,3758 North Pendale Street  ,White Plains,NY,24067,USA,AMER,0,1,0,0,0,0,0
10318,Diecast Classics Inc.,5566.5,45,100.0,118.0,-18.0,Motorcycles,4,S10_2016,2004-11-02,November,2004,Shipped,4,Medium Deal,0,1,0,Yu,Kyung,2155551555,7586 Pompton St.  ,Allentown,PA,70267,USA,AMER,0,1,0,0,0,0,0
10329,Land of Toys Inc.,3176.0,20,100.0,118.0,-18.0,Motorcycles,2,S10_2016,2004-11-15,November,2004,Shipped,4,Medium Deal,0,1,0,Yu,Kwai,2125557818,897 Long Airport Avenue  ,NYC,NY,10022,USA,AMER,0,1,0,0,0,0,0
10339,"Tokyo Collectables, Ltd",2756.8,40,68.92,118.0,-49.08,Motorcycles,4,S10_2016,2004-11-23,November,2004,Shipped,4,Small Deal,1,0,0,Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi  ,Minato-ku,Tokyo,106-0032,Japan,APAC,0,1,0,0,0,0,0
10361,Souveniers And Things Co.,1329.9,26,51.15,118.0,-66.85,Motorcycles,8,S10_2016,2004-12-17,December,2004,Shipped,4,Small Deal,1,0,0,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy  Level 6",Chatswood,NSW,2067,Australia,APAC,0,1,0,0,0,0,0
10374,"Australian Gift Network, Co",5288.01,39,100.0,118.0,-18.0,Motorcycles,5,S10_2016,2005-02-02,February,2005,Shipped,1,Medium Deal,0,1,0,Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End  ,South Brisbane,Queensland,4101,Australia,APAC,0,1,0,0,0,0,0
10388,FunGiftIdeas.com,2225.5,50,44.51,118.0,-73.49000000000001,Motorcycles,5,S10_2016,2005-03-03,March,2005,Shipped,1,Small Deal,1,0,0,Benitez,Violeta,5085552555,1785 First Street  ,New Bedford,MA,50553,USA,AMER,0,1,0,0,0,0,0
10402,Auto Canal Petit,5833.8,45,100.0,118.0,-18.0,Motorcycles,1,S10_2016,2005-04-07,April,2005,Shipped,2,Medium Deal,0,1,0,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston  ",Paris,N/A,75016,France,EMEA,0,1,0,0,0,0,0
10417,Euro Shopping Channel,5887.35,45,100.0,118.0,-18.0,Motorcycles,5,S10_2016,2005-05-13,May,2005,Disputed,2,Medium Deal,0,1,0,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86  ",Madrid,N/A,28034,Spain,EMEA,0,1,0,0,0,0,0
10107,Land of Toys Inc.,6065.55,27,100.0,193.0,-93.0,Motorcycles,4,S10_4698,2003-02-24,February,2003,Shipped,1,Medium Deal,0,1,0,Yu,Kwai,2125557818,897 Long Airport Avenue  ,NYC,NY,10022,USA,AMER,0,1,0,0,0,0,0
10120,"Australian Collectors, Co.",9264.86,46,100.0,193.0,-93.0,Motorcycles,2,S10_4698,2003-04-29,April,2003,Shipped,2,Large Deal,0,0,1,Ferguson,Peter,03 9520 4555,636 St Kilda Road  Level 3,Melbourne,Victoria,3004,Australia,APAC,0,1,0,0,0,0,0
10134,Lyon Souveniers,7023.98,31,100.0,193.0,-93.0,Motorcycles,4,S10_4698,2003-07-01,July,2003,Shipped,3,Large Deal,0,0,1,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia  ,Paris,N/A,75508,France,EMEA,0,1,0,0,0,0,0
10145,Toys4GrownUps.com,5176.38,33,100.0,193.0,-93.0,Motorcycles,8,S10_4698,2003-08-25,August,2003,Shipped,3,Medium Deal,0,1,0,Young,Julie,6265557265,78934 Hillside Dr.  ,Pasadena,CA,90003,USA,AMER,0,1,0,0,0,0,0
10159,Corporate Gift Ideas Co.,4132.7,22,100.0,193.0,-93.0,Motorcycles,16,S10_4698,2003-10-10,October,2003,Shipped,4,Medium Deal,0,1,0,Brown,Julie,6505551386,7734 Strong St.  ,San Francisco,CA,N/A,USA,AMER,0,1,0,0,0,0,0
10168,Technics Stores Inc.,4183.0,20,100.0,193.0,-93.0,Motorcycles,3,S10_4698,2003-10-28,October,2003,Shipped,4,Medium Deal,0,1,0,Hirano,Juri,6505556809,9408 Furth Circle  ,Burlingame,CA,94217,USA,AMER,0,1,0,0,0,0,0
10180,Daedalus Designs Imports,8892.9,41,100.0,193.0,-93.0,Motorcycles,11,S10_4698,2003-11-11,November,2003,Shipped,4,Large Deal,0,0,1,Rance,Martine,20.16.1555,"184, chausse de Tournai  ",Lille,N/A,59000,France,EMEA,0,1,0,0,0,0,0
10188,Herkku Gifts,8714.7,45,100.0,193.0,-93.0,Motorcycles,3,S10_4698,2003-11-18,November,2003,Shipped,4,Large Deal,0,0,1,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum  ",Bergen,N/A,N 5804,Norway,EMEA,0,1,0,0,0,0,0
10201,Mini Wheels Co.,8065.89,49,100.0,193.0,-93.0,Motorcycles,4,S10_4698,2003-12-01,December,2003,Shipped,4,Large Deal,0,0,1,Murphy,Julie,6505555787,5557 North Pendale Street  ,San Francisco,CA,N/A,USA,AMER,0,1,0,0,0,0,0
10210,Osaka Souveniers Co.,6123.4,34,100.0,193.0,-93.0,Motorcycles,1,S10_4698,2004-01-12,January,2004,Shipped,1,Medium Deal,0,1,0,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  ",Osaka,Osaka,530-0003,Japan,APAC,0,1,0,0,0,0,0
10223,"Australian Collectors, Co.",9774.03,49,100.0,193.0,-93.0,Motorcycles,3,S10_4698,2004-02-20,February,2004,Shipped,1,Large Deal,0,0,1,Ferguson,Peter,03 9520 4555,636 St Kilda Road  Level 3,Melbourne,Victoria,3004,Australia,APAC,0,1,0,0,0,0,0
10237,Vitachrome Inc.,7023.9,39,100.0,193.0,-93.0,Motorcycles,9,S10_4698,2004-04-05,April,2004,Shipped,2,Large Deal,0,0,1,Frick,Michael,2125551500,2678 Kingston Rd.  Suite 101,NYC,NY,10022,USA,AMER,0,1,0,0,0,0,0
